label	effect	frames	fps	avg_wall_us	p95_wall_us	p99_wall_us	slow_gt_16_7ms	slow_gt_20ms	avg_cpu_pct	p95_cpu_pct	max_trace_cpu_pct	max_sample_cpu_pct	avg_cpu_us	p95_cpu_us	avg_draw_us	p95_draw_us	avg_present_us	p95_present_us	avg_vsync_us	p95_vsync_us	avg_clear_us	p95_clear_us	avg_background_us	p95_background_us	avg_projection_us	p95_projection_us	avg_image_blit_us	p95_image_blit_us	avg_sprite_us	p95_sprite_us	avg_post_us	p95_post_us	avg_hud_us	p95_hud_us	avg_palette_step_count	p95_palette_step_count	max_palette_step_count	avg_lut_lookup_count	p95_lut_lookup_count	max_lut_lookup_count	avg_row_op_count	p95_row_op_count	max_row_op_count	avg_dither_pixel_count	p95_dither_pixel_count	max_dither_pixel_count	avg_flash_pixel_count	p95_flash_pixel_count	max_flash_pixel_count	avg_trail_pixel_count	p95_trail_pixel_count	max_trail_pixel_count	avg_indexed_pixel_count	p95_indexed_pixel_count	max_indexed_pixel_count	avg_reflection_row_count	p95_reflection_row_count	max_reflection_row_count	rss_hwm_kb	visual_ok	date	notes
RASTER-RAW565-BEFORE	limited-color-posterize-transition	180	61.1	16365	16450	16853	3	0	47	49	59	96	7786	8138	6192	6522	1431	1471	16642	16652	553	602	0	0	0	0	5638	5966	0	0	0	0	0	0	0	0	0	8160	8160	8160	0	0	0	0	0	0	0	0	0	0	0	0	522240	522240	522240	0	0	0	11668	not-run	2026-06-15T07:53:15Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-BEFORE	dither-dissolve	180	61.1	16374	16473	16986	7	0	87	92	99	96	14367	15150	12816	13547	1396	1465	16615	16647	552	596	0	0	0	0	12263	13024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518400	518400	518400	0	0	0	0	0	0	0	0	0	0	0	0	11668	not-run	2026-06-15T07:53:15Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-BEFORE	ordered-checker-dissolve	180	61.1	16369	16451	17601	6	0	91	98	100	96	14985	15472	13410	13857	1423	1461	16642	16653	552	591	0	0	0	0	12858	13321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518400	518400	518400	0	0	0	0	0	0	0	0	0	0	0	0	11668	not-run	2026-06-15T07:53:15Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-BEFORE	crt-phosphor-fade-trail	180	61.1	16355	16412	16716	3	0	79	80	92	96	13028	13219	11538	11715	1345	1374	16627	16651	542	591	8724	8843	0	0	0	0	0	0	2270	2357	0	0	0	0	0	0	0	0	180	180	180	0	0	0	0	0	0	518400	518400	518400	0	0	0	0	0	0	11668	not-run	2026-06-15T07:53:15Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-BEFORE	scanline-brightness-pulse	180	61.1	16360	16463	16692	3	0	22	23	35	96	3760	3784	2018	2033	1548	1584	16640	16655	557	603	760	795	0	0	0	0	0	0	700	731	0	0	6	6	6	0	0	0	1080	1080	1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11668	not-run	2026-06-15T07:53:15Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-BEFORE	palette-split-warning-tint	180	61.1	16365	16457	16576	1	0	23	24	35	96	3883	4087	2184	2329	1504	1567	16636	16653	536	599	844	868	0	0	0	0	0	0	803	929	0	0	542	542	542	0	0	0	1080	1080	1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11668	not-run	2026-06-15T07:53:15Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-BEFORE	water-reflection-flipped-wavy-rows	180	61.1	16362	16457	16770	4	0	70	74	93	96	11590	12693	10043	10661	1392	1435	16641	16652	532	577	1411	1487	8100	8449	0	0	0	0	0	0	0	0	540	540	540	0	0	0	632	632	632	0	0	0	0	0	0	0	0	0	0	0	0	270	270	270	11668	not-run	2026-06-15T07:53:15Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-AFTER	palette-cycling-lava-water-neon	181	61.4	16291	16421	16776	3	0	64	66	106	98	10469	10846	9036	9339	1291	1329	16555	16652	534	576	8303	8600	0	0	0	0	198	227	0	0	0	0	32	32	32	518400	518400	518400	15	15	15	0	0	0	0	0	0	0	0	0	518400	518400	518400	0	0	0	20112	not-run	2026-06-15T08:03:35Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-AFTER	palette-gradient-sky	180	61.1	16359	16472	16683	3	0	18	20	28	98	3143	3375	1431	1461	1511	1562	16602	16655	559	617	871	909	0	0	0	0	0	0	0	0	0	0	540	540	540	0	0	0	540	540	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20112	not-run	2026-06-15T08:03:35Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-AFTER	per-scanline-color-bars	180	61.1	16366	16463	16653	2	0	17	19	25	98	3024	3168	1335	1365	1504	1577	16635	16659	559	603	776	814	0	0	0	0	0	0	0	0	0	0	6	6	6	0	0	0	540	540	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20112	not-run	2026-06-15T08:03:35Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
