label	case	iteration	path	db_bytes	query_hash	open_us	schema_check_us	prepare_us	first_row_us	row_read_us	format_us	total_us	rows	columns	stdout_bytes
DBQUERY-RELEASE-20260627	amiga_categories	1	/media/fat/mister-magik/library.sqlite3	19615744	33398d0e318d5bbc	1321		2831	29150	29428	102	34061	3	2	68
DBQUERY-RELEASE-20260627	amiga_categories	2	/media/fat/mister-magik/library.sqlite3	19615744	33398d0e318d5bbc	1216		2849	28945	29281	99	33754	3	2	68
DBQUERY-RELEASE-20260627	amiga_categories	3	/media/fat/mister-magik/library.sqlite3	19615744	33398d0e318d5bbc	1265		2984	28846	29084	281	33925	3	2	68
DBQUERY-RELEASE-20260627	amiga_categories	4	/media/fat/mister-magik/library.sqlite3	19615744	33398d0e318d5bbc	1394		2905	28751	28985	94	33674	3	2	68
DBQUERY-RELEASE-20260627	amiga_categories	5	/media/fat/mister-magik/library.sqlite3	19615744	33398d0e318d5bbc	1325		2864	28970	29224	93	33823	3	2	68
DBQUERY-RELEASE-20260627	all_decades	1	/media/fat/mister-magik/library.sqlite3	19615744	32caeb26e8ab8816	1425		2795	24121	25726	201	30536	11	3	184
DBQUERY-RELEASE-20260627	all_decades	2	/media/fat/mister-magik/library.sqlite3	19615744	32caeb26e8ab8816	1259		2987	24053	25657	160	30528	11	3	184
DBQUERY-RELEASE-20260627	all_decades	3	/media/fat/mister-magik/library.sqlite3	19615744	32caeb26e8ab8816	1257		2903	23754	25263	152	29883	11	3	184
DBQUERY-RELEASE-20260627	all_decades	4	/media/fat/mister-magik/library.sqlite3	19615744	32caeb26e8ab8816	1375		2840	24095	25710	169	30408	11	3	184
DBQUERY-RELEASE-20260627	all_decades	5	/media/fat/mister-magik/library.sqlite3	19615744	32caeb26e8ab8816	1303		2993	24095	25613	149	30475	11	3	184
DBQUERY-RELEASE-20260627	all_manufacturers	1	/media/fat/mister-magik/library.sqlite3	19615744	68c4e9e6b75e17a6	1261		2930	35683	38950	1462	45983	238	3	6187
DBQUERY-RELEASE-20260627	all_manufacturers	2	/media/fat/mister-magik/library.sqlite3	19615744	68c4e9e6b75e17a6	1299		2842	35753	38889	1494	45885	238	3	6187
DBQUERY-RELEASE-20260627	all_manufacturers	3	/media/fat/mister-magik/library.sqlite3	19615744	68c4e9e6b75e17a6	1315		2882	35908	39213	1579	46267	238	3	6187
DBQUERY-RELEASE-20260627	all_manufacturers	4	/media/fat/mister-magik/library.sqlite3	19615744	68c4e9e6b75e17a6	1358		2791	35681	38995	1601	46044	238	3	6187
DBQUERY-RELEASE-20260627	all_manufacturers	5	/media/fat/mister-magik/library.sqlite3	19615744	68c4e9e6b75e17a6	1373		2822	35909	39164	1604	46278	238	3	6187
DBQUERY-RELEASE-20260627	all_categories	1	/media/fat/mister-magik/library.sqlite3	19615744	a0654713b57f3ec3	1283		2876	37031	38768	608	44109	72	3	1694
DBQUERY-RELEASE-20260627	all_categories	2	/media/fat/mister-magik/library.sqlite3	19615744	a0654713b57f3ec3	1349		3006	36738	38303	593	43801	72	3	1694
DBQUERY-RELEASE-20260627	all_categories	3	/media/fat/mister-magik/library.sqlite3	19615744	a0654713b57f3ec3	1281		2903	36187	37896	461	43173	72	3	1694
DBQUERY-RELEASE-20260627	all_categories	4	/media/fat/mister-magik/library.sqlite3	19615744	a0654713b57f3ec3	1345		2846	36344	37999	554	43362	72	3	1694
DBQUERY-RELEASE-20260627	all_categories	5	/media/fat/mister-magik/library.sqlite3	19615744	a0654713b57f3ec3	1270		2958	36291	37938	517	43377	72	3	1694
