label	effect	frames	fps	avg_wall_us	p95_wall_us	p99_wall_us	slow_gt_16_7ms	slow_gt_20ms	avg_cpu_pct	p95_cpu_pct	max_trace_cpu_pct	max_sample_cpu_pct	avg_cpu_us	p95_cpu_us	avg_draw_us	p95_draw_us	avg_present_us	p95_present_us	avg_vsync_us	p95_vsync_us	avg_clear_us	p95_clear_us	avg_background_us	p95_background_us	avg_projection_us	p95_projection_us	avg_image_blit_us	p95_image_blit_us	avg_sprite_us	p95_sprite_us	avg_post_us	p95_post_us	avg_hud_us	p95_hud_us	avg_glyph_count	p95_glyph_count	max_glyph_count	avg_glyph_pixels	p95_glyph_pixels	max_glyph_pixels	avg_tile_count	p95_tile_count	max_tile_count	avg_vector_segment_count	p95_vector_segment_count	max_vector_segment_count	avg_bob_count	p95_bob_count	max_bob_count	avg_palette_step_count	p95_palette_step_count	max_palette_step_count	avg_hidden_glyph_count	p95_hidden_glyph_count	max_hidden_glyph_count	avg_scroll_offset	p95_scroll_offset	max_scroll_offset	rss_hwm_kb	visual_ok	date	notes
TEXT-FX-SMOKE	amiga-copperbar-scrolltext	60	61.1	16359	16486	16602	1	0	21	23	29	103	3619	3962	1902	1954	1551	1617	16640	16655	616	649	1206	1252	0	0	0	0	79	130	0	0	0	0	10	18	19	2410	4496	4720	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	236	448	472	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-rainbow-raster-title	60	61.1	16359	16474	16609	1	0	19	20	26	103	3272	3316	1491	1525	1592	1669	16642	16657	615	647	729	753	0	0	0	0	146	212	0	0	0	0	14	14	14	3760	3760	3760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-copper-split-credits	60	61.1	16363	16463	16504	0	0	19	20	26	103	3258	3293	1488	1513	1583	1617	16642	16655	616	652	750	765	0	0	0	0	121	191	0	0	0	0	39	39	39	2484	2484	2484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-blitter-bob-letter-swarm	60	61.1	16365	16418	16423	1	0	21	22	29	103	3495	3642	1823	1951	1501	1527	16644	16651	617	657	718	753	0	0	0	0	487	541	0	0	0	0	96	96	96	13687	13989	14040	0	0	0	0	0	0	96	96	96	0	0	0	3	6	6	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-bob-path-scrolltext	60	61.1	16374	16450	16497	0	0	18	19	20	103	3172	3222	1509	1555	1486	1510	16637	16651	587	618	777	814	0	0	0	0	145	202	0	0	0	0	34	34	34	2032	2032	2032	0	0	0	0	0	0	42	42	42	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-shadebob-writing-text	60	61.1	16377	16487	16634	1	0	25	27	34	103	4323	4612	2670	2647	1495	1523	16555	16649	592	618	717	739	0	0	0	0	1359	1374	0	0	0	0	3	8	8	1041	2272	2272	0	0	0	0	0	0	80	80	80	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-infinite-bob-glyph-trail	60	61.2	16349	16409	16423	1	0	30	34	47	103	5066	5673	3552	4152	1362	1387	16644	16653	627	660	2327	2925	0	0	0	0	596	633	0	0	0	0	155	155	155	22032	22179	22230	0	0	0	0	0	0	180	180	180	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-kefrens-bar-text-wipe	60	61.1	16353	16451	16710	2	0	26	29	41	103	4450	4759	2646	2950	1612	1644	16642	16656	628	675	940	957	0	0	0	0	1077	1425	0	0	0	0	7	7	7	1824	1824	1824	0	0	0	0	0	0	0	0	0	540	540	540	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-moire-circle-title-mask	60	61.1	16368	16458	16540	1	0	47	50	61	103	7863	8280	6256	6637	1443	1517	16639	16654	606	641	5600	6021	0	0	0	0	49	66	0	0	0	0	5	5	5	3060	3060	3060	0	0	0	0	0	0	0	0	0	85	85	85	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-plasma-scrolltext-fill	60	61.1	16363	16428	16546	1	0	37	38	43	103	6181	6247	4518	4609	1497	1533	16642	16651	618	659	3860	4008	0	0	0	0	39	52	0	0	0	0	6	10	10	648	1188	1269	0	0	0	0	0	0	0	0	0	6	11	11	1	2	2	88	168	177	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-keftales-zoom-texture	60	61.1	16362	16551	16753	2	0	29	31	37	103	4905	5346	3282	3335	1468	1521	16641	16649	617	656	2629	2716	35	65	0	0	0	0	0	0	0	0	2	2	2	1518	4114	4114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-rotozoom-logo-text	60	61.1	16362	16464	16506	1	0	39	40	50	103	6528	6805	4905	4993	1457	1496	16560	16655	618	663	4134	4228	153	180	0	0	0	0	0	0	0	0	4	4	4	4	4	4	0	0	0	15	15	15	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-wobbler-flag-text	60	61.2	16352	16460	16638	1	0	19	19	25	103	3202	3227	1421	1440	1595	1618	16564	16649	629	663	732	758	60	68	0	0	0	0	0	0	0	0	11	11	11	1638	1638	1638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-texture-tunnel-text-ribbon	60	61.1	16366	16457	16489	1	0	79	82	96	103	13135	13447	11557	11797	1424	1486	16640	16650	599	644	10830	11060	127	159	0	0	0	0	0	0	0	0	31	31	31	3030	3408	3453	0	0	0	0	0	0	36	36	36	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	amiga-vector-line-font-spin	60	61.1	16364	16467	16637	0	0	19	20	25	103	3232	3311	1514	1544	1531	1588	16641	16656	613	653	729	762	171	233	0	0	0	0	0	0	0	0	4	4	4	4	4	4	0	0	0	15	15	15	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
